id,name,supertype,competitive_score,score_category
base1-1,Alakazam,Pokémon,0.2660672962665558,C-Tier
base1-10,Mewtwo,Pokémon,0.1980745643377304,D-Tier
base1-100,Lightning Energy,Energy,2.8594962769162846e-12,D-Tier
base1-101,Psychic Energy,Energy,2.8594962769162846e-12,D-Tier
base1-102,Water Energy,Energy,2.8594962769162846e-12,D-Tier
base1-11,Nidoking,Pokémon,0.29890090227127075,C-Tier
base1-12,Ninetales,Pokémon,0.26494237780570984,C-Tier
base1-13,Poliwrath,Pokémon,0.29888370633125305,C-Tier
base1-14,Raichu,Pokémon,0.2656222879886627,C-Tier
base1-15,Venusaur,Pokémon,0.29890865087509155,C-Tier
base1-16,Zapdos,Pokémon,0.2987745702266693,C-Tier
base1-17,Beedrill,Pokémon,0.26600611209869385,C-Tier
base1-18,Dragonair,Pokémon,0.2652074992656708,C-Tier
base1-19,Dugtrio,Pokémon,0.2346239984035492,C-Tier
base1-2,Blastoise,Pokémon,0.298908531665802,C-Tier
base1-20,Electabuzz,Pokémon,0.2346249520778656,C-Tier
base1-21,Electrode,Pokémon,0.2656222879886627,C-Tier
base1-22,Pidgeotto,Pokémon,0.20361323654651642,C-Tier
base1-23,Arcanine,Pokémon,0.29890573024749756,C-Tier
base1-24,Charmeleon,Pokémon,0.26494237780570984,C-Tier
base1-25,Dewgong,Pokémon,0.26561346650123596,C-Tier
base1-26,Dratini,Pokémon,0.1294628381729126,D-Tier
base1-27,Farfetch'd,Pokémon,0.1643156111240387,D-Tier
base1-28,Growlithe,Pokémon,0.2002834528684616,C-Tier
base1-29,Haunter,Pokémon,0.19987624883651733,D-Tier
base1-3,Chansey,Pokémon,0.2988230586051941,C-Tier
base1-30,Ivysaur,Pokémon,0.20278799533843994,C-Tier
base1-31,Jynx,Pokémon,0.23295491933822632,C-Tier
base1-32,Kadabra,Pokémon,0.19987624883651733,D-Tier
base1-33,Kakuna,Pokémon,0.2656279504299164,C-Tier
base1-34,Machoke,Pokémon,0.26525914669036865,C-Tier
base1-35,Magikarp,Pokémon,0.09821265190839767,D-Tier
base1-36,Magmar,Pokémon,0.16511760652065277,D-Tier
base1-37,Nidorino,Pokémon,0.20278799533843994,C-Tier
base1-38,Poliwhirl,Pokémon,0.19960083067417145,D-Tier
base1-39,Porygon,Pokémon,0.09946496039628983,D-Tier
base1-4,Charizard,Pokémon,0.2987966239452362,C-Tier
base1-40,Raticate,Pokémon,0.20361323654651642,C-Tier
base1-41,Seel,Pokémon,0.1987265944480896,D-Tier
base1-42,Wartortle,Pokémon,0.236039936542511,C-Tier
base1-43,Abra,Pokémon,0.09845941513776779,D-Tier
base1-44,Bulbasaur,Pokémon,0.13022442162036896,D-Tier
base1-45,Caterpie,Pokémon,0.13022442162036896,D-Tier
base1-46,Charmander,Pokémon,0.16511760652065277,D-Tier
base1-47,Diglett,Pokémon,0.09803957492113113,D-Tier
base1-48,Doduo,Pokémon,0.1643156111240387,D-Tier
base1-49,Drowzee,Pokémon,0.16680438816547394,D-Tier
base1-5,Clefairy,Pokémon,0.1294628381729126,D-Tier
base1-50,Gastly,Pokémon,0.09845941513776779,D-Tier
base1-51,Koffing,Pokémon,0.16603584587574005,D-Tier
base1-52,Machop,Pokémon,0.1644739955663681,D-Tier
base1-53,Magnemite,Pokémon,0.13147833943367004,D-Tier
base1-54,Metapod,Pokémon,0.23328974843025208,C-Tier
base1-55,Nidoran ♂,Pokémon,0.13022442162036896,D-Tier
